lon lat ve vn vu se sn su name
170.92030 -44.65570 -30.69868 -12.69981 -0.03057 0.45062 0.39374 0.54693 waim
172.72222 -43.60584 -32.73228 -11.80086 -0.27709 0.73360 1.08047 0.40067 lytt
173.53365 -42.42547 -28.65722 -10.42759 -1.05096 0.49570 0.46750 0.58118 kaik
178.30335 -37.56104 4.57198 -17.76551 0.07107 0.31441 0.31966 0.55430 hikb
168.78555 -44.07320 -12.91148 -4.50529 1.80005 0.44515 0.45747 0.51949 haas
175.74956 -36.86543 0.97886 -0.75656 -0.03137 0.29201 0.29431 0.56146 corm
174.82144 -39.78688 -3.24275 -2.11774 -0.09806 0.50238 0.34634 0.52715 wang
173.43373 -41.18350 -5.60908 -0.78325 -1.46250 0.99597 0.33513 0.56860 nlsn
172.52957 -40.82659 -2.82256 0.04169 -0.87525 0.34639 0.39152 0.58717 gldb
168.29209 -46.58508 -25.86000 -13.33000 0.23303 0.62000 0.74000 0.57193 bluf
169.81582 -43.53168 -8.35852 -2.26860 1.43314 0.32176 0.24583 0.53347 quar
175.25478 -41.56922 -33.36415 -9.62863 -3.75373 0.30920 0.38284 0.60536 pali
132.15312 -14.37580 -0.32738 -0.84300 0.53256 0.56754 0.38334 0.42886 kat2
176.08100 -38.74271 3.31388 -5.90949 1.78528 0.73289 0.48767 0.65073 taup
177.07635 -39.65787 -5.47354 -16.93050 0.65603 0.60237 0.35892 0.62154 ckid
174.93286 -41.19643 -22.16332 -6.28309 -1.58529 0.51961 0.39009 0.60641 avln
177.41540 -38.49556 1.18050 -16.78482 0.73712 0.47974 0.65337 0.71073 rawi
177.67752 -37.96500 1.97821 -16.45324 0.63307 0.64294 0.55896 0.72596 raum
170.46493 -43.98570 -27.65919 -12.01614 0.33119 0.36724 0.50505 0.48209 mtjo
176.74973 -38.61686 2.51918 -12.11066 -0.22597 0.61952 0.73684 0.75077 ming
171.57530 -43.59134 -30.81984 -13.50348 -0.74750 0.43642 0.74149 0.75866 meth
169.77498 -43.60828 -12.00355 -3.19002 1.68030 0.90099 0.70331 0.42608 kara
169.85586 -43.66622 -16.83296 -6.29193 4.17177 0.80265 0.73491 0.46183 cncl
174.21382 -41.74903 -24.28842 -8.32720 0.31883 0.46519 0.69474 0.56138 cmbl
183.38288 -43.73547 -34.53710 -0.71116 -0.95471 0.38762 0.30680 0.62156 chti
166.48489 -22.22832 0.31031 -1.10243 -0.33879 0.39653 0.31626 0.52868 nrmd
176.72474 -37.91547 1.31705 -5.52819 4.74915 0.76535 0.91694 1.69653 rgmt
175.47046 -39.38458 -1.98802 -2.32382 0.41579 0.46365 0.42227 0.73773 vgmt
176.49251 -39.16552 0.97508 -11.73408 0.39552 0.28011 0.27584 0.56276 ripa
177.90700 -39.15256 -3.01403 -20.84514 0.64595 0.87580 0.61538 0.53525 mahi
175.24060 -40.58879 -14.17281 -4.37036 -0.94320 2.12984 0.74580 1.28098 levn
175.42410 -40.40936 -12.81885 -4.41964 -1.15919 1.84114 0.81583 1.30931 koro
176.93674 -39.33235 -1.26365 -16.54308 -2.43871 0.42859 0.45276 0.58385 leyl
176.87606 -39.79382 -9.13628 -13.75566 -1.20611 0.45461 0.44908 0.59862 kahu
176.72660 -39.61702 -5.12991 -13.65046 -3.73929 1.08429 1.17670 0.89827 hast
176.16666 -40.29886 -15.86219 -10.44229 -2.35251 1.01949 0.47895 0.60927 dnvk
166.68071 -46.16619 -21.60000 -10.86000 1.59803 1.17000 1.48000 0.99437 pygr
174.95213 -41.02168 -18.13930 -5.00733 -0.66119 1.20868 0.84999 0.41046 paek
177.88603 -38.63533 -1.24286 -18.28615 -1.13732 2.20392 1.04286 0.55544 gisb
153.03529 -27.48493 -0.15352 -0.01622 -0.41087 0.28735 0.29505 0.84043 wool
173.98420 -41.56065 -15.80423 -4.75296 -1.02382 1.52222 0.91329 0.89101 with
169.88531 -43.58403 -13.95866 -3.80866 2.45523 0.29741 0.52680 0.58077 waka
168.31513 -17.74507 -83.61006 -37.92994 -1.07519 2.72077 1.52117 2.88671 vanu
175.68790 -41.39800 -33.44062 -10.14959 -3.97542 0.32165 0.28261 0.54564 trav
130.89153 -12.42430 -0.99214 0.40840 0.60213 0.59441 0.72813 1.12745 sa39
178.25736 -38.07141 5.24625 -18.75531 1.41216 0.32343 0.27910 0.50744 puke
169.92153 -43.66059 -17.86937 -6.79408 4.42133 0.95091 0.40052 0.81840 pilk
177.30758 -38.04652 2.27754 -14.84210 -1.27891 0.42748 0.39431 0.62362 optk
158.93584 -54.49957 -8.44791 -18.78251 -0.93682 0.74210 0.79253 0.74148 maci
176.55626 -37.84588 -0.09243 -3.00284 3.02266 0.29466 0.30579 0.87291 rgop
178.40865 -37.82502 5.85031 -20.17193 0.41379 0.76205 0.35651 0.73925 wmat
177.23441 -39.07721 0.30970 -17.67547 -0.88821 0.41019 0.36251 0.68843 wahu
175.34641 -39.28927 -1.16973 -2.34061 -0.04869 0.24153 0.30112 0.61538 vgpk
174.62767 -41.27795 -18.73001 -4.38003 -0.23023 0.56000 0.57000 1.34889 trwh
174.28008 -41.19158 -13.31949 -3.00978 -0.89454 0.31846 0.32545 0.92880 tory
175.18192 -39.80477 -3.01613 -2.45276 0.29159 0.59570 0.50848 0.73218 pkno
176.86388 -40.03308 -9.59556 -16.66159 -0.81177 0.36222 0.28001 0.72054 pawa
174.06029 -41.01926 -9.40556 -0.32600 -1.77250 0.43081 0.32572 0.86812 okoh
175.76109 -40.38504 -17.25684 -6.50668 -1.31182 1.18764 0.60656 1.81695 nrrd
177.66779 -39.01610 -1.92487 -21.20772 -0.80806 0.50265 0.28179 0.56940 koko
174.90977 -40.86090 -15.02885 -3.34929 -1.57853 2.24393 0.68761 1.02170 kapt
175.23813 -40.08033 -5.44890 -2.03849 -1.98238 0.53259 0.34692 0.67615 gnbk
173.92159 -40.80177 -5.90841 -0.58058 -1.99036 0.35440 0.25040 0.58202 durv
176.24610 -40.67977 -26.38405 -10.32904 -4.05415 0.36565 0.42723 0.58877 birf
175.88564 -40.77619 -25.09015 -10.09957 -4.09700 0.37991 0.49911 0.63694 tint
175.89046 -41.10657 -28.72954 -11.43124 -3.02809 0.33401 0.38712 0.58559 tema
175.40404 -41.18720 -29.74654 -10.17260 -3.92594 0.48482 0.37182 0.84286 rdlv
176.63521 -40.26638 -16.31841 -14.48610 -2.09536 1.54786 0.44392 0.55072 pora
176.20033 -39.91696 -7.87597 -9.89249 -1.69582 1.10714 0.59990 0.90706 pnui
177.06976 -39.17227 -0.49166 -16.63437 -1.35578 0.54472 0.49152 0.63164 kuta
175.14534 -41.14497 -24.18212 -8.41954 -1.26794 0.41313 0.58850 0.66846 clim
176.46122 -40.53980 -23.76175 -12.55765 -3.64090 1.22746 0.27770 0.61531 akto
168.11820 -45.36650 -25.67000 -11.07000 0.35908 0.80000 1.05000 0.60409 ianh
147.05569 -19.26928 -0.05134 -0.26384 -0.18538 0.31089 0.33420 0.46881 tow2
178.00588 -38.16242 0.61401 -18.90775 3.03125 0.42002 0.40862 0.73367 tauw
182.07105 -29.24467 -14.53978 -15.16138 -6.05427 1.13214 0.80889 1.80689 raul
175.42693 -41.38154 -33.08822 -9.77107 -4.13689 0.34981 0.36169 0.57827 parw
166.41019 -22.26986 -0.07188 -0.45675 -0.96591 0.42486 0.45203 0.87703 nrm0
170.35053 -43.33640 -11.75551 -2.94886 3.62841 0.47698 0.69181 0.79214 mtpr
177.52620 -38.33384 1.26737 -16.54083 0.75796 0.43404 0.30686 0.58396 matw
117.09719 -20.98143 -0.32554 -0.19652 -0.24596 0.30128 0.40801 0.47354 karr
147.43874 -42.80471 0.03398 -0.53474 -0.43442 0.24915 0.25529 0.44883 hob2
133.80983 -31.86666 0.28447 -0.59394 0.36658 0.30743 0.27010 0.51350 cedu
133.88552 -23.67012 0.09026 -0.33628 -0.00944 0.27934 0.32786 0.38541 alic
176.35158 -38.25131 1.40817 -6.12958 -4.19047 0.42553 0.49894 1.45930 3056
176.51462 -38.33889 1.54948 -8.20827 -1.50447 0.34528 0.36656 0.96358 rgrr
176.77281 -38.05253 NaN NaN -0.78101 NaN NaN 1.81464 rgkw
177.81143 -38.43748 -0.03425 -18.41890 -0.44624 0.62917 0.30647 0.85692 tkar
175.78560 -39.68249 -2.92826 -5.02616 1.13560 0.36951 0.32192 0.91309 thap
177.34750 -38.77963 0.92635 -17.21126 -0.55290 0.40074 0.30827 0.75398 snst
177.08606 -38.91618 1.43553 -16.05324 0.26544 0.38018 0.31161 0.74950 rahi
177.69788 -38.81419 -1.61974 -17.62367 1.25260 0.89403 0.33275 0.60184 prtu
177.88328 -38.92257 -0.03572 -20.17109 -2.87377 0.56605 0.29311 0.66017 pari
176.20003 -40.11332 -10.34531 -8.97281 -1.30985 0.76180 0.44581 1.21087 nrsw
176.80662 -39.09703 1.39055 -14.69230 0.53683 0.35843 0.41594 0.68437 nmai
175.53614 -40.18137 -9.76729 -4.62564 -0.59899 1.00474 0.85838 1.57800 mtbl
176.22338 -40.46864 -22.00994 -11.80287 -4.14659 1.10000 0.61925 0.82417 mnhr
175.57487 -40.66869 -20.43733 -7.27553 -1.13881 0.57352 0.40214 0.68909 mang
173.79381 -41.29139 -9.56917 -1.02668 -0.89575 0.37093 0.29931 0.66891 maha
177.56937 -38.68682 -0.42065 -17.05452 1.11145 0.91009 0.31062 0.67034 hana
175.45927 -39.97626 -5.02501 -3.23816 -0.06152 0.41979 0.34384 0.75397 grng
177.40988 -38.93930 -0.65770 -18.37059 -1.28281 0.57309 0.32468 0.73570 frtn
178.21114 -38.48797 -2.57124 -18.22747 -0.04379 0.46169 0.30571 0.62736 cnst
178.29122 -38.26821 1.03653 -19.69338 -1.78607 0.91603 0.32399 0.81530 anau
178.04600 -38.41145 -1.03223 -18.65373 0.94531 0.62049 0.43391 0.66469 ahti
176.44060 -40.06420 -11.86026 -11.41808 -2.32587 0.81919 0.33582 0.67601 wpuk
176.54300 -39.89588 -11.00811 -11.47142 -3.27585 1.26299 0.37182 0.70007 wpaw
176.62117 -39.74720 -9.44375 -11.55626 -4.99084 2.21449 0.35751 1.18114 rakw
175.99927 -40.60106 -23.72760 -10.59766 -3.35650 0.94663 0.74716 0.62633 ptoi
176.68069 -40.10437 -12.49256 -14.16592 -0.15568 0.37779 0.31738 0.87440 oroa
175.24137 -41.00158 -21.30494 -7.10130 -1.73560 1.33359 0.71723 0.99271 mtqn
176.02883 -39.70338 -3.66945 -6.75709 -0.21064 0.54687 0.40283 1.33850 mkno
176.69656 -39.44419 -1.72225 -14.46509 -2.14055 0.32794 0.27901 0.72540 mcnl
176.42277 -39.42403 -1.49185 -12.02987 -1.43305 0.44058 0.67797 0.77636 kawk
175.51519 -40.89724 -21.58086 -9.84015 -2.06525 0.51763 0.48416 0.71660 hold
169.89321 -43.63770 -16.37383 -6.21644 3.81303 0.75642 0.75850 0.77551 vexa
115.88525 -31.80196 0.33423 -0.84489 -1.67022 0.34386 0.33577 0.53583 pert
167.93891 -29.04307 -0.31653 -0.43043 -0.09472 0.45396 0.30231 0.60637 norf
116.19272 -31.04873 -0.07890 -0.67371 -0.29755 0.34994 0.34361 0.39691 nnor
170.06122 -43.75612 -21.08688 -9.13380 2.52306 1.02038 0.68912 0.74921 nett
144.97534 -37.82941 0.46222 -0.12301 -0.52281 0.44185 0.35290 0.45937 mobs
164.28734 -20.55869 -0.47598 -0.80187 -0.00552 0.42442 0.36638 0.49052 kouc
132.89405 -12.65914 -0.76688 -0.20686 -1.45807 0.38592 0.59440 2.02011 jab2
170.10551 -43.77732 -22.80875 -10.39207 5.35717 0.56838 0.33675 0.50990 horn
210.38569 -17.55531 -84.10689 26.54059 -0.37369 0.37015 0.42367 0.47868 faa1
175.13651 -41.34050 -30.54886 -9.33170 -3.84607 1.20916 1.03175 0.80035 bth1
170.19013 -43.86249 -25.16230 -11.73106 3.05146 0.83939 0.61827 0.50644 bnet
176.28797 -38.38579 2.59586 -5.37013 -0.65221 0.47993 0.90630 1.18544 rghr
175.81083 -38.61103 -0.39080 -2.70102 0.16497 0.28483 0.23373 0.75876 tgtk
175.85849 -38.97713 -0.63335 -4.67261 -1.50183 0.40788 0.33388 0.99465 tgri
175.77015 -38.86337 -2.29173 -3.75613 0.83623 0.27177 0.26013 0.78040 tgra
175.71191 -38.67811 -1.11266 -2.26675 0.11415 0.26424 0.23008 0.68731 tghr
175.96292 -40.06157 -8.61339 -7.53774 -0.59985 0.61212 0.36592 0.69265 takp
175.79068 -39.91829 -4.98595 -6.01174 2.01057 0.50809 0.44063 1.06958 ohin
175.17041 -40.81654 -16.05385 -4.46989 -1.03711 2.46017 0.35753 0.92082 otak
175.45174 -39.73010 -2.71141 -2.85083 0.30787 0.63356 0.36991 0.72598 whvr
190.07291 -19.07649 -79.30698 7.02456 -0.30769 0.31479 0.37037 0.68734 nium
151.23197 -33.91781 -0.36412 -0.13708 -0.43058 0.35414 0.35616 0.75637 unx3
166.21537 -21.60858 -0.08148 -0.01021 -0.49356 0.67950 0.53771 0.74456 thio
188.26158 -13.84921 -87.21275 4.50784 -2.66785 1.26844 0.59055 1.17009 samo
164.02378 -20.23165 -0.01688 0.47833 -1.22375 0.91389 0.57043 0.95140 poum
165.35132 -20.93788 -0.97988 0.10377 -0.42268 0.83142 0.77150 1.16505 pdme
148.26461 -32.99876 -0.14205 -1.40284 0.22986 0.55705 0.40631 0.71095 park
178.08260 -37.89398 2.24146 -16.98866 3.03300 1.26755 1.35869 0.72409 paki
167.26378 -20.91799 -0.21329 -0.20223 -2.80598 0.50864 0.44813 1.64609 lpil
159.06120 -31.51988 -0.01665 -0.51994 -0.46590 0.45824 0.33306 0.56516 lord
159.07852 -31.54146 -0.38066 0.05384 -0.59860 0.58229 0.43582 0.56642 ldhi
177.44658 -17.60881 -7.47183 -6.26052 -0.17828 0.33365 0.40390 0.75801 laut
152.75856 -27.61488 -0.14744 -0.05977 -0.93606 0.75155 0.48048 0.90844 ips2
188.00047 -13.83221 -87.49327 3.94524 -1.99085 0.63966 0.49828 0.72457 fale
200.19939 -21.20102 -77.36814 17.10925 0.38164 0.31640 0.32578 0.55371 ckis
145.91486 -41.05006 -0.20114 0.24987 -0.36184 0.83058 0.92223 0.65443 bur0
152.32101 -24.90822 0.21387 -0.27646 0.12497 0.39342 0.34496 0.42824 bndy
176.13641 -38.61758 -0.07423 -6.11687 -4.46751 0.90922 1.35368 1.25996 arta
130.88173 -12.35592 -0.16653 0.11341 -0.61313 0.36056 0.38840 0.95985 02na
176.19417 -38.17664 0.98889 -2.80137 -0.53823 0.31701 0.24685 0.90037 rgut
176.50610 -38.23377 -0.20721 -7.27389 -5.91992 0.43121 0.29236 1.05478 rgta
176.52120 -38.05725 0.48563 -4.82346 -1.07859 0.28466 0.56637 0.93149 rgre
176.46711 -38.13834 0.94258 -8.90001 -10.15346 0.34009 0.39327 0.91377 rgmk
176.38572 -38.00327 0.52266 -3.78145 -1.53868 0.26565 0.27394 0.93540 rgli
176.24405 -38.02007 0.58829 -2.57009 -0.52706 0.25105 0.24162 0.98692 rgka
176.34303 -38.56204 1.31665 -7.99794 -1.65202 0.33752 0.35167 1.11486 rgar
175.60938 -39.27731 -0.60388 -2.98042 -1.16028 0.51517 0.41338 0.86439 vgts
176.04779 -38.84642 2.01607 -7.87551 1.12785 0.90329 1.58612 0.97205 tgoh
176.23202 -38.25655 2.88118 -5.08695 -1.87868 0.71680 0.55228 1.14417 rgon
178.12912 -38.64380 -3.51305 -20.32353 -0.16461 0.76109 0.39907 0.56971 mako
176.37013 -39.64314 -4.11343 -11.01070 -1.57055 0.79014 0.51175 0.83257 kere
184.82054 -21.14507 72.13769 -38.62858 2.15780 1.11879 0.96632 0.85264 tong
169.92107 -43.70207 -18.44185 -6.70135 4.98550 1.09582 0.85337 1.27917 redd
210.42727 -17.53308 -84.54161 26.90330 -1.34958 0.32901 0.25242 0.61820 pape
169.85252 -43.72080 -18.08949 -7.44017 3.54740 0.72856 0.65079 1.35445 maka
169.73677 -43.64299 -13.23752 -3.18621 1.04568 0.46861 0.61150 0.78340 leoc
175.58970 -39.11514 1.03810 -2.52362 -2.14163 0.30746 0.33385 0.79000 vgwt
175.59785 -39.32693 -1.05060 -3.22317 -0.37309 0.39419 0.29566 0.87783 vgwn
175.58898 -39.28240 -0.73400 -3.09088 -1.49047 0.48446 0.35137 0.87836 vgwh
175.54831 -39.29841 -0.78755 -2.81700 -0.82120 0.34264 0.31299 0.88026 vgtr
175.66514 -39.16306 -0.53499 -2.73072 -2.72211 0.31888 0.28158 0.80640 vgot
175.54224 -39.19983 -0.22905 -2.72159 -1.55149 0.33142 0.26344 0.72374 vgob
175.55269 -39.25515 -0.44733 -2.76251 -0.36615 0.31463 0.28115 0.68866 vgfw
175.93960 -38.67346 1.00444 -1.59818 -1.86190 0.29389 0.38629 0.93930 tgwh
175.99633 -38.81286 2.52417 -7.01676 1.24260 2.30615 0.42864 1.79681 tgho
176.36592 -38.09366 0.36002 -3.19919 -0.47265 0.33474 0.31027 2.11562 rghd
176.89617 -38.00320 3.05085 -11.82238 -0.02864 0.32849 0.32541 0.91054 rgaw
176.21085 -38.35257 0.48193 -3.09092 -2.12029 0.45290 0.28785 0.90540 rgwv
175.67593 -39.09867 -0.41689 -2.06360 -3.82892 0.42784 0.42910 0.80264 vgnt
176.38258 -40.26499 -15.10943 -11.68992 -0.38709 0.54856 0.35230 0.77573 turi
116.63749 -26.69664 -0.21632 -0.76696 0.45764 0.53342 0.46832 0.48467 mro1
146.21255 -38.81225 0.48927 -1.17888 -0.40806 0.40789 0.43638 0.75958 ynki
174.91823 -41.23509 -24.14355 -7.76437 -1.67596 0.73366 0.63248 1.38142 grcf
144.44212 -37.67679 0.16583 -0.60344 -1.60856 0.69296 0.53331 1.20714 bmsh
172.77520 -42.66180 NaN NaN -0.83092 NaN NaN 0.76833 ianh
172.78784 -42.39811 -17.25000 -5.55001 1.14908 0.56127 0.47586 0.64168 ianh
172.79280 -42.55280 NaN NaN 0.11908 NaN NaN 0.76546 ianh
172.96050 -41.03370 NaN NaN -1.57092 NaN NaN 0.77938 ianh
170.04809 -45.78191 -29.54918 -12.07352 NaN 0.79452 1.05004 NaN e2k3
169.90276 -44.93768 -29.17594 -11.73441 NaN 1.04198 0.60630 NaN dme3
170.12346 -45.56547 -29.18140 -11.66207 NaN 1.24601 0.79606 NaN dme1
147.37083 -35.10913 -0.22294 -0.75871 -0.25506 0.63435 0.70700 0.75201 wwcc
117.41010 -33.33306 -0.61693 -0.73997 -0.55906 0.68859 0.39747 0.66902 wagn
164.46992 -20.83628 -0.24520 -0.90523 0.26237 0.74603 0.47595 0.75259 uaco
166.21689 -22.01151 -0.73865 -0.00943 -1.15175 0.34632 0.37051 0.65963 ttta
151.92844 -27.53442 -0.51667 -0.00511 -1.04406 0.49035 0.54352 0.84477 toow
210.52446 -23.34180 -75.50704 26.89862 -0.90263 0.51753 0.48036 0.57485 tbtg
147.93085 -42.54643 -0.28118 -0.16378 -0.82225 0.35033 0.34787 0.54178 spby
145.13200 -37.91285 0.00388 -0.37454 -1.20056 0.33944 0.34363 1.02679 sg36
141.61347 -38.34439 -0.05939 -0.81143 -0.24713 0.73907 0.45538 0.55412 ptld
151.59651 -26.15761 1.01033 -0.23761 -2.53606 1.18837 0.98429 1.00048 pro1
148.17146 -33.13990 -0.07638 -0.34273 1.15294 0.64551 0.74628 1.60091 par2
166.44252 -22.26478 -0.95501 -0.38760 -1.08275 0.33957 0.39681 0.85101 nmea
150.93774 -32.25211 -3.62544 -0.00339 -3.60806 2.10716 0.93773 5.36884 musw
135.33069 -34.13529 -0.10880 -0.79414 -0.18406 0.55413 0.80173 0.92067 mthp
140.78104 -37.83307 0.52869 -0.54336 -0.91806 1.21913 0.76544 0.79788 mtga
165.37548 -21.48034 -1.00893 -0.33594 -0.54925 0.47647 0.81891 0.70657 lcap
138.63930 -33.00062 -0.20128 -0.13411 -0.52406 1.12788 0.76160 1.48060 jmst
165.62732 -21.27701 -0.39491 -0.59004 -3.53006 0.66497 0.86637 1.90250 hlou
115.73859 -31.82552 -0.06404 -1.10617 -1.81875 0.31026 0.28429 0.62753 hil1
225.03517 -23.13035 -79.18973 39.55989 0.42575 0.24661 0.22322 0.79565 gamb
181.87905 -14.30780 -83.78255 -2.71300 -0.99263 0.66781 1.94974 0.97419 ftna
121.89433 -33.87432 -0.16313 -0.68678 -0.46725 0.34855 0.28165 0.52478 espa
130.95594 -12.44330 -0.98732 -0.43903 0.04375 0.64164 0.77728 0.67062 dwni
148.60287 -32.24722 -0.18222 -2.26397 4.65094 0.75644 1.23612 6.45152 dub1
151.18570 -33.92403 0.37226 -0.19883 1.39694 0.96996 0.80477 5.17229 crk1
153.26654 -27.52615 -0.25104 -0.41080 -0.17763 0.39395 0.37763 0.67283 clev
138.20826 -33.35377 -1.24259 0.51299 -1.64456 1.28498 0.82830 1.76208 cbrk
122.20909 -18.00397 -0.44422 -0.25736 -0.80775 0.62009 0.34790 0.67829 bro1
153.56206 -28.86989 -0.25177 -1.38705 2.04594 0.77224 0.99149 5.85867 blna
140.60066 -34.28582 -2.22186 -0.51927 -26.64506 2.40736 0.80366 18.79287 beri
189.27756 -14.32609 -86.87373 5.98899 -3.28825 0.94191 0.57130 1.98683 aspa
130.98205 -12.47822 -0.27821 -0.27963 -1.46213 0.34791 0.36733 1.06465 01na
130.84399 -12.46664 -0.19748 -1.04263 -0.65863 0.36561 0.36882 0.72768 00na
176.37797 -38.10469 0.27876 -5.39760 -1.22617 0.66255 0.78279 1.21761 rgcr
175.99496 -38.69197 0.39319 -1.21779 -1.11252 2.01154 1.41278 1.66469 2406
176.20155 -40.90980 -28.38599 -10.45632 -3.20900 0.37512 0.35227 0.51316 cast
169.68411 -45.03832 -30.19430 -13.47505 -0.24802 0.56458 0.56386 0.97191 ldrz
172.82422 -43.07791 -30.89000 -10.02000 0.48908 0.58000 0.61000 0.79102 ianh
170.21790 -46.05620 -29.21397 -11.68413 NaN 1.38093 1.20688 NaN em6l
169.16975 -45.08037 -29.57694 -11.90650 NaN 0.78073 0.72195 NaN e2k4
169.76636 -45.97025 -28.76499 -12.66382 NaN 0.57561 0.91524 NaN dqyr
169.42533 -45.67637 -29.21530 -12.41183 NaN 0.77522 0.83401 NaN dqyq
169.35454 -44.93326 -29.00208 -11.97437 NaN 0.81009 0.76975 NaN dqyp
169.61548 -45.10690 -29.25400 -11.54158 NaN 1.10426 0.90255 NaN dqyn
169.62900 -45.26286 -29.37334 -12.03040 NaN 0.97911 0.95067 NaN dqym
169.80313 -45.47854 -29.21743 -12.53077 NaN 1.33744 0.90488 NaN dqyk
170.06689 -45.28491 -29.66809 -11.91496 NaN 1.64185 1.03236 NaN dqyj
170.21599 -45.38304 -29.40281 -12.24916 NaN 1.25115 1.01169 NaN dqyh
170.32169 -45.46702 -30.00395 -12.43367 NaN 0.63754 1.12414 NaN dqyg
170.51725 -45.37091 -29.96950 -11.62665 NaN 1.22752 1.02810 NaN dqyf
169.20610 -44.28609 -23.22177 -9.98435 NaN 2.01299 0.94295 NaN dpx3
169.30232 -44.74860 -27.42796 -11.54291 NaN 1.26204 0.65187 NaN dme5
170.26254 -43.98500 -28.16505 -13.29050 0.55765 0.98831 0.91689 2.52696 mtc1
169.98450 -43.72658 -20.28518 -8.75865 3.91493 0.89815 0.65574 1.43985 mcke
151.26382 -27.17060 -0.63708 -0.09392 -2.79006 0.89574 0.73486 0.73965 dlby
176.12376 -37.88919 2.17125 -2.88074 1.40126 1.67448 1.04687 3.58466 eaxx
176.08129 -38.15286 1.73160 -3.09413 1.10544 0.83451 0.47220 1.01544 cbwu
175.87754 -37.89434 0.61559 -1.83115 0.76208 0.62812 0.41683 1.42676 b4dp
176.03006 -38.38748 4.02561 -5.68912 0.59504 1.86548 1.51545 3.37709 ah9j
176.01785 -38.35959 2.83305 -4.43943 -0.55057 1.57701 1.37218 4.34351 a87p
176.07306 -38.04784 1.36562 -2.74205 1.25374 0.62465 0.71213 0.71699 2383
175.86543 -38.21110 0.65474 -2.92533 1.06583 1.06825 0.86253 1.52612 2382
172.48113 -43.49077 -31.86919 -12.06220 -0.35583 0.33787 0.33189 0.59579 yald
175.70413 -39.11561 -0.85200 -2.59072 -4.04695 0.36889 0.45043 0.70926 vgtm
175.60115 -39.17556 0.50485 -2.78486 -2.34818 0.39468 0.64141 0.64319 vgng
175.64131 -39.09440 0.94910 -3.72491 -2.81386 0.30558 0.26510 0.56707 vgkr
175.71075 -39.13571 -1.11778 -2.62662 -2.41103 0.40205 0.61921 0.71606 vget
133.69683 -32.12862 0.20420 -0.60791 0.07025 0.28756 0.28680 0.58164 thev
170.13928 -45.63416 -29.64003 -13.42704 -0.10575 0.37663 0.40931 0.74324 sutt
212.29395 -14.94583 -88.91882 27.19728 -1.15163 0.32467 0.33418 0.71058 rgtg
